iteration,best_fitness,coverage
262.0,6.0,0.33499999999999996
263.0,6.0,0.33499999999999996
264.0,6.0,0.33499999999999996
265.0,6.0,0.33499999999999996
266.0,6.0,0.33499999999999996
267.0,6.0,0.33499999999999996
268.0,6.0,0.33499999999999996
269.0,6.0,0.33499999999999996
270.0,6.0,0.33499999999999996
271.0,6.0,0.33499999999999996
272.0,6.0,0.33499999999999996
273.0,6.0,0.33499999999999996
274.0,6.0,0.33499999999999996
275.0,6.0,0.33499999999999996
276.0,6.0,0.33499999999999996
277.0,2.0,0.33499999999999996
278.0,2.0,0.3375
279.0,2.0,0.3375
280.0,2.0,0.3375
281.0,2.0,0.3375
282.0,2.0,0.3375
283.0,2.0,0.3375
284.0,2.0,0.3375
285.0,2.0,0.3375
286.0,2.0,0.3375
287.0,2.0,0.3375
288.0,2.0,0.3375
289.0,2.0,0.3375
290.0,2.0,0.33999999999999997
291.0,2.0,0.33999999999999997
292.0,2.0,0.33999999999999997
293.0,2.0,0.33999999999999997
294.0,2.0,0.33999999999999997
295.0,2.0,0.33999999999999997
296.0,2.0,0.33999999999999997
297.0,2.0,0.33999999999999997
298.0,2.0,0.33999999999999997
299.0,2.0,0.33999999999999997
300.0,2.0,0.33999999999999997
301.0,2.0,0.33999999999999997
302.0,2.0,0.33999999999999997
303.0,2.0,0.33999999999999997
304.0,2.0,0.33999999999999997
305.0,2.0,0.33999999999999997
306.0,2.0,0.33999999999999997
307.0,2.0,0.33999999999999997
308.0,2.0,0.33999999999999997
309.0,2.0,0.33999999999999997
310.0,2.0,0.33999999999999997
311.0,2.0,0.33999999999999997
312.0,2.0,0.33999999999999997
313.0,2.0,0.33999999999999997
314.0,2.0,0.33999999999999997
315.0,2.0,0.33999999999999997
316.0,2.0,0.33999999999999997
317.0,2.0,0.33999999999999997
318.0,2.0,0.33999999999999997
319.0,2.0,0.33999999999999997
320.0,2.0,0.33999999999999997
321.0,2.0,0.33999999999999997
322.0,2.0,0.33999999999999997
323.0,2.0,0.33999999999999997
324.0,2.0,0.33999999999999997
325.0,2.0,0.33999999999999997
326.0,2.0,0.33999999999999997
327.0,2.0,0.33999999999999997
328.0,2.0,0.33999999999999997
329.0,2.0,0.33999999999999997
330.0,2.0,0.33999999999999997
331.0,2.0,0.33999999999999997
332.0,2.0,0.33999999999999997
333.0,2.0,0.33999999999999997
334.0,2.0,0.33999999999999997
335.0,2.0,0.33999999999999997
336.0,2.0,0.33999999999999997
337.0,2.0,0.33999999999999997
338.0,2.0,0.33999999999999997
339.0,2.0,0.33999999999999997
340.0,2.0,0.33999999999999997
341.0,2.0,0.33999999999999997
342.0,2.0,0.33999999999999997
343.0,2.0,0.33999999999999997
344.0,2.0,0.33999999999999997
345.0,2.0,0.33999999999999997
346.0,2.0,0.33999999999999997
347.0,2.0,0.33999999999999997
348.0,2.0,0.33999999999999997
349.0,2.0,0.33999999999999997
350.0,2.0,0.33999999999999997
351.0,2.0,0.33999999999999997
352.0,2.0,0.33999999999999997
353.0,2.0,0.33999999999999997
354.0,2.0,0.33999999999999997
355.0,2.0,0.33999999999999997
356.0,2.0,0.33999999999999997
357.0,2.0,0.33999999999999997
358.0,2.0,0.33999999999999997
359.0,2.0,0.33999999999999997
360.0,2.0,0.33999999999999997
361.0,2.0,0.33999999999999997
362.0,2.0,0.33999999999999997
363.0,2.0,0.33999999999999997
364.0,2.0,0.33999999999999997
365.0,2.0,0.33999999999999997
